Roll: 1301CH11
Semester Wise Details
Sem,Subject,Credits,Grade,Type
1,CH101,8,CD,CORE
1,CH110,3,BC,CORE
1,EE101,8,BC,CORE
1,HS101,6,CD,CORE
1,MA101,8,CC,CORE
1,ME110,3,BC,CORE
1,ME111,7,BB,CORE
1,PH101,6,BC,CORE
2,CH102,6,CC,CORE
2,CS101,6,BC,CORE
2,CS110,3,CC,CORE
2,EE102,4,AB,CORE
2,MA102,8,BB,CORE
2,ME101,8,CC,CORE
2,PH102,6,BC,CORE
2,PH110,3,BB,CORE
3,CB201,6,BC,CORE
3,CH203,8,BC,CORE
3,CH205,6,BC,CORE
3,CS201,9,BC,CORE
3,HS201,6,CC,HS Elective
3,MA201,8,BC,CORE
3,ME204,6,BC,CORE
4,CH202,6,CC,CORE
4,CH204,6,CD,CORE
4,CH206,6,CD,CORE
4,CH208,6,BB,CORE
4,CH210,6,AB,CORE
4,HS232,6,BC,HS Elective
4,PH201,6,BB,Science Elective
5,CB311,8,BB,CORE
5,CB314,3,AB,CORE
5,CH301,6,BB,CORE
5,CH303,6,BB,CORE
5,CH305,6,BC,CORE
5,CH307,6,BB,CORE
5,CH310,3,BB,CORE
5,ME305,8,BB,CORE
6,CB302,6,AB,CORE
6,CB315,3,AB,CORE
6,CH302,6,BC,CORE
6,CH304,6,BB,CORE
6,CH306,5,BC,CORE
6,CH308,6,BC,CORE
6,CH320,3,AB,CORE
6,HS311,6,CD,HSS Electives
7,CB404,6,BB,Department Elective - I
7,CB503,6,BC,Open Elective - I
7,CH400,2,BC,CORE
7,CH401,6,BC,CORE
7,CH409,6,BC,Department Elective - II
7,CH410,10,CC,CORE
8,CB406,6,AB,CORE
8,CB411,6,AB,Department Elective - IV
8,CB412,6,AB,Open Elective - II
8,CH411,16,AB,CORE
8,CH512,6,BC,Department Elective - III
8,HS421,6,BC,HS Elective
